organizationId,organizationName,id,name,description,address,city,state,zip,latitude,longitude,type,updatedAt,updatedAtHuman,categories,revenue,ein
361644,Massachusetts Conference for Women Inc,361644,Massachusetts Conference for Women Inc,Part 1: the mission of the conference is to harness the collective energy and knowledge of the women of the region-women of all ages and backgrounds-to better themselves and their communities.,PO Box 55071,Boston,MA,02205,42.354492,-71.049611,organization,2023-10-10 20:14:58,1 month ago,"WEDUC,WSW",3620086,202699177
1945741,Young Womens Christian Association of Boston Inc,1945741,Young Womens Christian Association of Boston Inc,"Part 1: eliminating racism, empowering women, and promoting peace, justice, freedom, and dignity for all. - Part 3: the YWCA boston is dedicated to eliminating racism, empowering women, and promoting peace, justice, freedom, and dignity for all.",140 Clarendon Street,Boston,MA,02116,42.349585,-71.07347899999999,organization,2023-10-10 20:12:26,1 month ago,WSNW,3506785,042103548
1946342,Center for Women and Enterprises Inc,1946342,Center for Women and Enterprises Inc,"Part 1: education, training, consulting, technical assistance and certification for entrepreneurs. - Part 3: cwe is an economic empowerment organization whose mission is to help women business owners and aspiring female entrepreneurs launch and grow their business by providing greater access to the resources, tools, and support they need. We achieve this mission by providing education, training, technical assistance, access to markets, and paths to funding to women entrepreneurs and early-stage businesses.",44 School St Rm 200,Boston,MA,02108,-0.001,0.001,organization,2023-10-10 20:12:40,1 month ago,ND,3446565,043256236
411864,Jeanne Geiger Crisis Center Inc,411864,Jeanne Geiger Crisis Center Inc,Part 1: the mission of the jeanne geiger crisis center is to empower individuals and engage communities to end domestic violence.,2 Harris St,Newburyport,MA,01950,42.807845,-70.87248500000001,organization,2023-10-10 20:16:07,1 month ago,GV,3267915,222474823
1946260,Asian Task Force Against Domestic Violence Inc,1946260,Asian Task Force Against Domestic Violence Inc,Part 1: to eliminate family violence and to strengthen asian families and communities. - Part 3: to prevent domestic violence in asian families and communities and to provide hope to survivors.,PO Box 120108,Boston,MA,02112,0.001,0.001,organization,2023-10-10 20:12:38,1 month ago,GV,3053405,043103354
1946291,Mother Caroline Academy and Education Center,1946291,Mother Caroline Academy and Education Center,"Part 1: *refer to schedule o, page 49mother caroline academy and education center nurtures, inspires and empowers students and families to achieve success through education. - Part 3: the mission of the school is to provide a quality education that develops the potential of each student and prepares her to succeed in competitive secondary schools. We believe our mission can best be *refer to schedule o, page 45 for continuation*achieved by focusing holistically on the needs of our students and their families, and by preserving a spirit of volunteerism and commitment among all who aid and support and benefit from our mission.",515 Blue Hill Ave,Dorchester,MA,02121,-0.001,0.001,organization,2023-10-10 20:12:39,1 month ago,WEDUC,2929617,043163180
1945823,Family and Community Resources Inc,1945823,Family and Community Resources Inc,"Part 1: domestic violence and substance abuse counseling. - Part 3: the mission of fcr is to provide a welcoming, inclusive, and safe environment for all survivors of trauma, including those impacted by domestic and sexual violence, substance abuse, bereavement, and other causes.With the understanding that the aim of equality and justice is ongoing, we are committed to modeling diversity, inclusivity, and equity within our organization to reflect the communities in which we serve.",18 Newton St,Brockton,MA,02301,42.077539,-71.02702500000001,organization,2023-10-10 20:12:29,1 month ago,WHSV,2849514,042616114
1945753,Girls Incorporated of Lynn,1945753,Girls Incorporated of Lynn,"Part 1: girls Inc. Inspires all girls to be strong, smart and bold by providing essential resources and programs to at risk, low-income girls and their families. Girls Inc. Helps build girls' capacity for responsible and confident adulthood, economic independence, and personal fulfillment through their programs. - Part 3: girls Inc. Inspires all girls to be strong, smart and bold by providing essential resources and programs to at risk, low-income girls and their families. Girls Inc. Helps build girls' capacity for responsible and confident adulthood, economic independence, and personal fulfillment through their programs.During the challenging times of covid-19, girls Inc. Continued to provide high-quality programming and social-emotional support to girls ages 5-18 offering virtual programs in stem, literacy, leadership, mentoring, academics. Following covid-19 safety protocols, girls Inc. Offered in-person remote learning for elementary school girls, followed by girls Inc. Experience programming in the afternoon. Girls Inc. Continues to engage many talented volunteers in virtual programming and engage families through family engagement programming.",50 High St,Lynn,MA,01902,42.465399000000005,-70.946961,organization,2023-10-10 20:12:27,1 month ago,"GIRL,WSW",2722246,042104250
1945854,Dove Inc,1945854,Dove Inc,"Part 1: provides services for victims of domestic abuse. - Part 3: mission statement: hope, healing, safety, social change. Working together to end domestic and partner violence. Vision statement: a community unified in peace, justice, and equity, for the safety and well-being of every individual.",PO Box 690267,Quincy,MA,02269,42.277341,-71.010312,organization,2023-10-10 20:12:29,1 month ago,GV,2662981,042667808
1945785,Wellesley Students Aid Society Inc,1945785,Wellesley Students Aid Society Inc,Part 1: provide loans and other means of support to wellesley college students with demonstrated need. Supplementing wellesley college's financial aid programs. - Part 3: providing financial assistance to wellesley college students who demonstrate a financial need.,106 Central Street,Wellesley,MA,02481,42.292741,-71.306343,organization,2023-10-10 20:12:28,1 month ago,WEDUC,2590047,042152598
550670,Our Sisters School Inc,550670,Our Sisters School Inc,"Part 1: our mission, as an independent, tuition free, non-sectarian middle school, is to edcuate and inspire econcomically disadvantaged girls from the new bedford area. - Part 3: to educate and inspire econcomically disadvantaged girls from the new bedford area. Empowering girls to step into the future with valuable life skills and a mindset of achievement and excellence by providing a safe, supportive, and academically challenging environment.",145 Brownell Ave,New Bedford,MA,02740,-0.001,0.001,organization,2023-10-10 20:19:03,1 month ago,WEDUC,2559371,260367118
1945764,Wellesley College Alumnae Association,1945764,Wellesley College Alumnae Association,Part 1: to support the institutional priorities of wellesley college by connecting alumnae to the college and to each other. The association will serve as a lifelong resource to alumnae and will encourage alumnae to contribute to the continued excellence of the college.,106 Central Street,Wellesley,MA,02481,42.294740999999995,-71.30834300000001,organization,2023-10-10 20:12:27,1 month ago,WEDUC,2440374,042105817
1946434,Harborcov Inc,1946434,Harborcov Inc,"Part 1: provide emergency and community based services to domestic violence survivors. - Part 3: harborcov provides linguistically and culturally appropriate, high-quality emergency and support services to, safe affordable transitional and permanent low-income housing for, and advocates on behalf of, victims and survivors of domestic violence, while working to educate the public about its causes and consequences.",63 Washington Avenue,Chelsea,MA,02150,-0.001,-0.001,organization,2023-10-10 20:12:42,1 month ago,GV,2437215,043458096
1945850,Healing Abuse Working for Change Inc,1945850,Healing Abuse Working for Change Inc,Part 1: to create social change by taking action against personal and societal patterns of violence and oppresion. Hawc provides services and support to victims of domestic violence in 23 cities and towns on massachusetts' north shore. - Part 3: to create social change by taking action against personal and societal patterns of violence and oppression. Hawc provides services and support to victims of domestic violence in 23 cities and towns on massachusetts' north shore.,27 Congress Street,Salem,MA,01970,42.519721999999994,-70.88840599999999,organization,2023-10-10 20:12:29,1 month ago,GV,2353494,042655367
1945780,Young Womens Christian Association of Newburyport,1945780,Young Womens Christian Association of Newburyport,"Part 1: YWCA is dedicated to eliminating racism, empowering women and promoting peace, justice, freedom and dignity for all.",13 Market St,Newburyport,MA,01950,42.81223,-70.875822,organization,2023-10-10 20:12:27,1 month ago,WSNW,2206422,042123678
